name,owner,createdAt,updatedAt,primaryLanguage,mergedPRs,releases,openIssues,closedIssues,stars
freeCodeCamp,freeCodeCamp,2014-12-24T17:49:19Z,2025-08-11T19:11:46Z,TypeScript,25669,0,192,19600,425544
build-your-own-x,codecrafters-io,2018-05-09T12:03:18Z,2025-08-11T20:01:19Z,Markdown,142,0,219,594,409145
awesome,sindresorhus,2014-07-11T13:42:37Z,2025-08-11T20:02:16Z,None,679,0,14,340,390815
free-programming-books,EbookFoundation,2013-10-11T06:50:37Z,2025-08-11T19:46:17Z,Python,6818,0,31,1150,364853
public-apis,public-apis,2016-03-20T23:49:42Z,2025-08-11T19:53:52Z,Python,1872,0,2,703,360752
developer-roadmap,kamranahmedse,2017-03-15T13:45:52Z,2025-08-11T19:58:24Z,TypeScript,3664,1,250,2687,333559
coding-interview-university,jwasham,2016-06-06T02:34:12Z,2025-08-11T18:58:47Z,None,415,0,63,453,324125
system-design-primer,donnemartin,2017-02-26T16:15:28Z,2025-08-11T20:03:27Z,Python,200,0,248,91,315325
996.ICU,996icu,2019-03-26T07:31:14Z,2025-08-11T19:11:40Z,None,1067,0,0,0,273981
awesome-python,vinta,2014-06-27T21:00:06Z,2025-08-11T20:00:13Z,Python,544,0,0,0,254508
awesome-selfhosted,awesome-selfhosted,2015-06-01T02:33:17Z,2025-08-11T20:00:12Z,None,2394,1,0,806,241305
project-based-learning,practical-tutorials,2017-04-12T05:07:46Z,2025-08-11T19:50:00Z,None,182,0,129,79,238831
react,facebook,2013-05-24T16:15:54Z,2025-08-11T19:28:45Z,JavaScript,12077,105,802,13175,238035
vue,vuejs,2013-07-29T03:24:51Z,2025-08-11T15:15:21Z,TypeScript,1133,249,355,9673,209248
Python,TheAlgorithms,2016-07-16T09:44:01Z,2025-08-11T19:57:10Z,Python,2974,0,74,1511,203947
linux,torvalds,2011-09-04T22:48:12Z,2025-08-11T19:50:39Z,C,10,0,0,0,199428
javascript-algorithms,trekhleb,2018-03-24T07:47:04Z,2025-08-11T18:59:34Z,JavaScript,302,0,137,229,192971
tensorflow,tensorflow,2015-11-07T01:19:20Z,2025-08-11T19:57:58Z,C++,35598,217,887,39821,191137
computer-science,ossu,2014-05-04T00:18:39Z,2025-08-11T19:27:18Z,HTML,298,0,14,637,190183
You-Dont-Know-JS,getify,2013-11-16T02:37:24Z,2025-08-11T19:26:13Z,None,368,0,81,863,182917
the-book-of-secret-knowledge,trimstray,2018-06-23T10:43:14Z,2025-08-11T20:00:05Z,None,122,0,0,0,181842
CS-Notes,CyC2018,2018-02-13T14:56:24Z,2025-08-11T17:57:28Z,None,374,0,123,448,181395
ohmyzsh,ohmyzsh,2009-08-28T18:15:37Z,2025-08-11T17:50:27Z,Shell,3369,0,139,4818,180601
AutoGPT,Significant-Gravitas,2023-03-16T09:21:07Z,2025-08-11T19:52:35Z,Python,3150,66,157,3214,177682
vscode,microsoft,2015-09-03T20:23:38Z,2025-08-11T19:31:05Z,TypeScript,35924,175,11965,192137,175623
bootstrap,twbs,2011-07-29T21:19:00Z,2025-08-11T16:13:50Z,MDX,8967,93,406,22342,172823
flutter,flutter,2015-03-06T22:54:58Z,2025-08-11T19:30:14Z,Dart,43630,7,11887,96627,171793
Python-100-Days,jackfrued,2018-03-01T16:05:52Z,2025-08-11T17:16:41Z,Jupyter Notebook,13,0,572,118,170666
gitignore,github,2010-11-08T20:17:14Z,2025-08-11T16:41:00Z,None,1713,0,0,0,168574
the-art-of-command-line,jlevy,2015-05-20T15:11:03Z,2025-08-11T16:53:32Z,None,317,0,122,136,157749
stable-diffusion-webui,AUTOMATIC1111,2022-08-22T14:05:26Z,2025-08-11T19:33:49Z,Python,1874,27,2362,5464,155461
JavaGuide,Snailclimb,2018-05-07T13:27:00Z,2025-08-11T18:06:26Z,Java,1179,0,72,1031,151203
ollama,ollama,2023-06-26T19:39:32Z,2025-08-11T19:20:22Z,Go,2435,141,1762,6129,149905
awesome-go,avelino,2014-07-06T13:42:15Z,2025-08-11T20:03:59Z,Go,3454,0,6,679,149636
transformers,huggingface,2018-10-29T13:56:00Z,2025-08-11T20:01:42Z,Python,16490,220,1082,16659,148189
javascript,airbnb,2012-11-01T23:13:50Z,2025-08-11T13:22:39Z,JavaScript,810,0,97,1266,147257
Microsoft-Activation-Scripts,massgravel,2020-01-12T23:03:34Z,2025-08-11T19:44:35Z,Batchfile,6,24,0,715,144119
youtube-dl,ytdl-org,2010-10-31T14:35:07Z,2025-08-11T16:58:44Z,Python,1642,341,3643,23122,136824
next.js,vercel,2016-10-05T23:32:51Z,2025-08-11T19:54:44Z,JavaScript,23478,1000,2327,20991,133728
awesome-chatgpt-prompts,f,2022-12-05T13:54:13Z,2025-08-11T20:02:04Z,JavaScript,171,0,0,0,132356
go,golang,2014-08-19T04:33:40Z,2025-08-11T19:42:07Z,Go,1,0,9173,58643,129342
fucking-algorithm,labuladong,2020-02-19T09:01:23Z,2025-08-11T13:45:44Z,Markdown,238,1,3,913,128878
n8n,n8n-io,2019-06-22T09:24:21Z,2025-08-11T20:04:32Z,TypeScript,10483,376,577,4368,128745
tech-interview-handbook,yangshun,2016-07-05T05:00:48Z,2025-08-11T18:01:49Z,TypeScript,481,0,41,74,128437
scrcpy,Genymobile,2017-11-21T18:00:27Z,2025-08-11T18:54:00Z,C,113,47,2443,3159,126396
30-seconds-of-code,Chalarangelo,2017-11-29T17:35:03Z,2025-08-11T18:47:04Z,JavaScript,826,12,0,300,124879
HelloGitHub,521xueweihan,2016-05-04T06:24:11Z,2025-08-11T19:14:31Z,Python,16,57,210,2627,124646
react-native,facebook,2015-01-09T18:10:16Z,2025-08-11T18:54:09Z,C++,930,408,649,26523,123368
PowerToys,microsoft,2019-05-01T17:44:02Z,2025-08-11T20:00:11Z,C#,5596,116,6902,27481,122057
yt-dlp,yt-dlp,2020-10-26T04:22:55Z,2025-08-11T20:01:05Z,Python,2868,116,1606,8093,122054
